TIME,RNET,G0,Gstor,H,LE,H_spec_corr,LE_spec_corr,HA_T,HA_Q,VA_T,VFD_T
2022-06-23 14:30,522.243334768255,57.1988686749045,-7.05179276353287,56.5353412213555,366.825518203887,53.9408314764315,453.668912369354,53.0333180965342,97.3195559025352,31.4265748545398,-21.5255881596273
2022-06-23 15:00,465.251822639378,49.3102357578207,-8.4951692402658,37.0827706755076,298.262926164357,35.3809748110468,368.874602769254,71.6334941416388,157.857355551585,22.3509231194921,-20.2724834154698
2022-06-23 15:30,383.972239799147,41.5086365999769,-10.1426486704653,32.962333081792,378.804764416162,31.449631600761,468.484161937424,73.1740671925681,218.636361620986,7.18609357284745,-6.05957905660134
2022-06-23 16:00,309.599595275749,33.3297592336357,-12.3283553608736,-4.93826861660044,254.245552238949,-4.71164247847107,314.436421227599,43.6657891388822,202.702257081332,-17.4943584539408,-23.1353844600848
2022-06-23 16:30,243.579463412979,26.5412045956499,-14.2825052706553,-29.1666624412137,243.798847326221,-27.8281511968162,301.516531469639,53.7096202286796,154.377285428091,-45.2750927211116,-24.3835341015153
2022-06-23 17:00,177.627885027397,18.7847073430846,-17.5417535137703,-39.5357688437143,199.269920135306,-37.7214004270374,246.445689979139,42.4622740417368,164.05538783384,-51.5734150913125,-15.1337823397497
2022-06-23 17:30,106.974047435741,12.8905157474674,-15.1168640574548,-52.0874097313421,158.982167870616,-49.6970236610309,196.62009212755,33.7773045410147,137.385630993946,-49.8320955781226,-13.7359289620257
2022-06-23 18:00,40.9463527412374,8.19689222612204,-13.5934082621083,-43.694187982233,99.9414080527235,-41.6889821398807,123.601842407103,21.8317320051151,101.793366737105,-29.7237115373057,1.93444125338199
2022-06-23 18:30,-15.0783154459319,4.05985460551986,-12.9625216239317,-35.1199783460195,46.1711001317357,-33.5082585952975,57.1017874716631,5.11030922875947,68.6758140541502,-24.182567196261,4.70410784542052
2022-06-23 19:00,-46.946860037405,-0.506962945968359,-13.1550650712251,-23.717044222805,12.5917112111122,-23.717044222805,12.5917112111122,-8.45443136432523,43.9723365463223,-20.8842364860273,-5.44695537133004
2022-06-23 19:30,-62.6710669038663,-5.2650677326856,-13.627754059829,-15.4523095486661,5.25182758549149,-15.4523095486661,5.25182758549149,-15.4753559028553,39.0714928471933,-16.9914163825402,13.9900121927458
2022-06-23 20:00,-57.5663321719933,-8.42185399807742,-12.424334423077,-19.9209963964252,-4.53347037568212,-19.9209963964252,-4.53347037568212,-15.7890929576161,34.2606232685132,-12.2768064450903,2.83682740653352
2022-06-23 20:30,-69.4722150802958,-10.3455648270621,-10.8283967806267,-29.0690227647647,8.34548249328798,-29.0690227647647,8.34548249328798,-10.1787412773061,52.5255797375575,-25.9507502141588,12.1055333309279
2022-06-23 21:00,-78.3860365292403,-11.0455015085955,-8.41073201566958,-60.1067211692987,16.488517622085,-60.1067211692987,16.488517622085,-0.767910947305155,81.6945433098956,-44.5224320961792,4.08788624471114
2022-06-23 21:30,-78.5376418602616,-11.4224678247955,-7.02730893162389,-61.210548801132,22.7506424847923,-61.210548801132,22.7506424847923,-6.69358233874258,95.1563894714603,-49.9656264881106,0.807920032313689
2022-06-23 22:00,-76.3657269502581,-12.2598717115646,-6.5048727825261,-58.359004243331,19.8486551251847,-58.359004243331,19.8486551251847,-7.94026849355439,79.2522147213225,-52.4343539336615,-7.27280170610223
2022-06-23 22:30,-69.7139938548805,-12.865056963228,-6.19366106837606,-35.2036421474618,10.202288762481,-35.2036421474618,10.202288762481,-2.17714479469272,30.393373265123,-29.2785321509107,-2.25030913931056
